Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
Canonical i-motif,49,23.735,1.551,0.0106,0.024,Escherichia coli_genome.fna
Mixed_Cluster_4_classes,47,323.0,1.165,0.0101,0.322,Escherichia coli_genome.fna
Extended-loop canonical,23,33.87,1.03,0.005,0.016,Escherichia coli_genome.fna
Cruciform_G-Quadruplex_Overlap,18,29.778,1.053,0.0039,0.011,Escherichia coli_genome.fna
Direct Repeat,16,66.875,1.154,0.0034,0.023,Escherichia coli_genome.fna
G-Quadruplex_Cruciform_Overlap,15,31.0,1.051,0.0032,0.01,Escherichia coli_genome.fna
Canonical intramolecular G4,10,23.8,1.021,0.0022,0.005,Escherichia coli_genome.fna
R-Loop_G-Quadruplex_Overlap,10,484.5,1.233,0.0022,0.104,Escherichia coli_genome.fna
G-Quadruplex_R-Loop_Overlap,9,679.667,1.334,0.0019,0.132,Escherichia coli_genome.fna
R-Loop_Cruciform_Overlap,9,261.556,1.172,0.0019,0.051,Escherichia coli_genome.fna
eGZ,8,12.75,1.0,0.0017,0.002,Escherichia coli_genome.fna
Cruciform_Curved_DNA_Overlap,7,33.571,1.179,0.0015,0.005,Escherichia coli_genome.fna
Mixed_Cluster_5_classes,7,226.857,1.144,0.0015,0.034,Escherichia coli_genome.fna
Curved_DNA_Cruciform_Overlap,7,31.571,1.162,0.0015,0.005,Escherichia coli_genome.fna
Cruciform_R-Loop_Overlap,7,206.0,1.155,0.0015,0.031,Escherichia coli_genome.fna
G-Quadruplex_Z-DNA_Overlap,6,25.0,1.011,0.0013,0.003,Escherichia coli_genome.fna
Triplex,5,24.4,1.19,0.0011,0.003,Escherichia coli_genome.fna
A-philic_DNA_R-Loop_Overlap,4,22.0,1.034,0.0009,0.002,Escherichia coli_genome.fna
Z-DNA_G-Quadruplex_Overlap,4,25.75,1.007,0.0009,0.002,Escherichia coli_genome.fna
Sticky DNA,3,12.0,1.005,0.0006,0.001,Escherichia coli_genome.fna
R-Loop_A-philic_DNA_Overlap,3,19.667,1.036,0.0006,0.001,Escherichia coli_genome.fna
i-Motif_R-Loop_Overlap,3,202.333,1.401,0.0006,0.013,Escherichia coli_genome.fna
STR,2,36.0,1.046,0.0004,0.002,Escherichia coli_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,2,23.0,1.025,0.0004,0.001,Escherichia coli_genome.fna
AC-motif,2,27.0,1.9,0.0004,0.001,Escherichia coli_genome.fna
G-Quadruplex_i-Motif_Overlap,2,43.5,1.342,0.0004,0.002,Escherichia coli_genome.fna
Curved_DNA_R-Loop_Overlap,1,40.0,1.049,0.0002,0.001,Escherichia coli_genome.fna
Z-DNA_Cruciform_Overlap,1,35.0,1.175,0.0002,0.001,Escherichia coli_genome.fna
G-Quadruplex_Curved_DNA_Overlap,1,26.0,1.099,0.0002,0.001,Escherichia coli_genome.fna
Curved_DNA_Slipped_DNA_Overlap,1,43.0,1.071,0.0002,0.001,Escherichia coli_genome.fna
i-Motif_A-philic_DNA_Overlap,1,24.0,1.04,0.0002,0.0,Escherichia coli_genome.fna
i-Motif_Cruciform_Overlap,1,42.0,1.385,0.0002,0.001,Escherichia coli_genome.fna
