Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
G-Quadruplex_R-Loop_Overlap,31899,782.433,1.397,0.0102,0.799,human_genome.fna
Z-DNA,31720,11.866,1.054,0.0102,0.011,human_genome.fna
Slipped_DNA_Triplex_Overlap,25352,38.438,1.196,0.0081,0.03,human_genome.fna
Curved_DNA_Triplex_Overlap,21490,28.261,1.241,0.0069,0.019,human_genome.fna
Triplex_Curved_DNA_Overlap,21342,28.403,1.243,0.0068,0.019,human_genome.fna
Mixed_Cluster_6_classes,19192,559.919,1.28,0.0062,0.342,human_genome.fna
R-Loop_G-Quadruplex_Overlap,18711,721.707,1.363,0.006,0.432,human_genome.fna
i-Motif_R-Loop_Overlap,17030,687.203,1.763,0.0055,0.375,human_genome.fna
R-Loop_i-Motif_Overlap,16999,688.584,1.762,0.0055,0.375,human_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,15813,25.778,1.046,0.0051,0.013,human_genome.fna
Slipped_DNA_Cruciform_Overlap,15278,46.268,1.093,0.0049,0.022,human_genome.fna
G-Quadruplex_Cruciform_Overlap,14818,29.542,1.039,0.0048,0.014,human_genome.fna
Sticky DNA,14466,16.633,1.016,0.0046,0.007,human_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,14168,25.607,1.047,0.0045,0.011,human_genome.fna
i-Motif_G-Quadruplex_Overlap,13302,45.194,1.477,0.0043,0.019,human_genome.fna
Slipped_DNA_i-Motif_Overlap,11982,51.75,1.519,0.0038,0.019,human_genome.fna
Cruciform_G-Quadruplex_Overlap,11681,30.783,1.041,0.0037,0.011,human_genome.fna
A-philic_DNA_i-Motif_Overlap,10308,31.762,1.422,0.0033,0.01,human_genome.fna
AC-motif,10051,26.298,1.869,0.0032,0.008,human_genome.fna
i-Motif_A-philic_DNA_Overlap,9779,31.854,1.416,0.0031,0.01,human_genome.fna
i-Motif_Slipped_DNA_Overlap,8820,56.247,1.533,0.0028,0.016,human_genome.fna
A-philic_DNA_R-Loop_Overlap,7979,343.627,1.199,0.0026,0.088,human_genome.fna
Triplex_Slipped_DNA_Overlap,7732,44.499,1.203,0.0025,0.011,human_genome.fna
Triplex_i-Motif_Overlap,7599,39.545,1.619,0.0024,0.009,human_genome.fna
R-Loop_A-philic_DNA_Overlap,7442,279.449,1.167,0.0024,0.066,human_genome.fna
i-Motif_Triplex_Overlap,7338,40.002,1.626,0.0024,0.009,human_genome.fna
G-Quadruplex_Triplex_Overlap,7335,42.69,1.207,0.0024,0.01,human_genome.fna
Cruciform_Slipped_DNA_Overlap,7332,58.832,1.123,0.0024,0.014,human_genome.fna
Curved_DNA_Slipped_DNA_Overlap,7170,27.602,1.153,0.0023,0.006,human_genome.fna
eGZ,6823,15.249,1.0,0.0022,0.003,human_genome.fna
Triplex_G-Quadruplex_Overlap,6552,40.873,1.203,0.0021,0.008,human_genome.fna
Cruciform_Curved_DNA_Overlap,6496,27.599,1.15,0.0021,0.006,human_genome.fna
Slipped_DNA_Curved_DNA_Overlap,6177,28.424,1.155,0.002,0.005,human_genome.fna
Curved_DNA_Cruciform_Overlap,5948,28.427,1.157,0.0019,0.005,human_genome.fna
Slipped_DNA_R-Loop_Overlap,3733,620.867,1.344,0.0012,0.074,human_genome.fna
R-Loop_Slipped_DNA_Overlap,2957,654.196,1.361,0.0009,0.062,human_genome.fna
Triplex_R-Loop_Overlap,2841,500.769,1.394,0.0009,0.046,human_genome.fna
R-Loop_Triplex_Overlap,2835,491.423,1.392,0.0009,0.045,human_genome.fna
R-Loop_Cruciform_Overlap,2442,471.46,1.262,0.0008,0.037,human_genome.fna
Cruciform_R-Loop_Overlap,2384,429.697,1.239,0.0008,0.033,human_genome.fna
Mixed_Cluster_7_classes,2349,694.152,1.28,0.0008,0.052,human_genome.fna
Cruciform_i-Motif_Overlap,2007,40.578,1.434,0.0006,0.003,human_genome.fna
Higher-order G4 array/G4-wire,1796,90.361,1.483,0.0006,0.005,human_genome.fna
i-Motif_Cruciform_Overlap,1738,39.196,1.423,0.0006,0.002,human_genome.fna
G-Quadruplex_Curved_DNA_Overlap,1129,30.722,1.116,0.0004,0.001,human_genome.fna
Z-DNA_G-Quadruplex_Overlap,966,27.592,1.021,0.0003,0.001,human_genome.fna
G-Quadruplex_Z-DNA_Overlap,828,31.345,1.034,0.0003,0.001,human_genome.fna
Curved_DNA_G-Quadruplex_Overlap,645,31.719,1.127,0.0002,0.001,human_genome.fna
Curved_DNA_R-Loop_Overlap,637,229.385,1.219,0.0002,0.005,human_genome.fna
R-Loop_Curved_DNA_Overlap,616,234.201,1.22,0.0002,0.005,human_genome.fna
A-philic_DNA_Cruciform_Overlap,584,24.777,1.071,0.0002,0.0,human_genome.fna
Cruciform_A-philic_DNA_Overlap,571,27.879,1.102,0.0002,0.0,human_genome.fna
Cruciform_Triplex_Overlap,347,38.931,1.176,0.0001,0.0,human_genome.fna
Slipped_DNA_Z-DNA_Overlap,332,39.151,1.044,0.0001,0.0,human_genome.fna
Cruciform_Z-DNA_Overlap,327,26.768,1.105,0.0001,0.0,human_genome.fna
A-philic_DNA_Slipped_DNA_Overlap,320,87.581,1.123,0.0001,0.001,human_genome.fna
Z-DNA_Cruciform_Overlap,296,24.527,1.065,0.0001,0.0,human_genome.fna
Triplex_Cruciform_Overlap,290,40.117,1.181,0.0001,0.0,human_genome.fna
Curved_DNA_i-Motif_Overlap,255,32.376,1.503,0.0001,0.0,human_genome.fna
i-Motif_Curved_DNA_Overlap,240,32.208,1.511,0.0001,0.0,human_genome.fna
Z-DNA_Slipped_DNA_Overlap,202,31.391,1.041,0.0001,0.0,human_genome.fna
Slipped_DNA_A-philic_DNA_Overlap,189,70.857,1.115,0.0001,0.0,human_genome.fna
A-philic_DNA_Triplex_Overlap,97,29.412,1.152,0.0,0.0,human_genome.fna
Triplex_A-philic_DNA_Overlap,96,29.312,1.148,0.0,0.0,human_genome.fna
Mixed_Cluster_8_classes,91,563.176,1.247,0.0,0.002,human_genome.fna
R-Loop_Z-DNA_Overlap,64,1382.672,1.703,0.0,0.003,human_genome.fna
Z-DNA_R-Loop_Overlap,48,1486.625,1.757,0.0,0.002,human_genome.fna
Telomeric G4,28,120.429,1.597,0.0,0.0,human_genome.fna
Stacked G4,13,88.538,1.479,0.0,0.0,human_genome.fna
Mixed_Cluster_9_classes,1,242.0,1.125,0.0,0.0,human_genome.fna
Z-DNA_i-Motif_Overlap,1,50.0,1.584,0.0,0.0,human_genome.fna
i-Motif_Z-DNA_Overlap,1,51.0,1.528,0.0,0.0,human_genome.fna
